Country,GDP_USD_billion
United States,23315.08
China,17734.13
Japan,4940.88
Germany,4259.94
India,3201.47
United Kingdom,3131.38
France,2957.88
Italy,2107.7
Canada,1988.34
South Korea,1810.97
Russia,1778.78
Australia,1734.53
Brazil,1608.98
Spain,1427.38
Mexico,1272.84
Indonesia,1186.09
Netherlands,1012.85
Saudi Arabia,833.54
Turkey,819.03
Switzerland,812.87
Taiwan,790.73
Poland,679.44
Sweden,635.66
Iran,594.89
Belgium,594.1
Thailand,505.98
Ireland,504.18
Argentina,487.23
Norway,482.18
Israel,481.59
Austria,480.37
Nigeria,430.92
Egypt,425.91
South Africa,419.02
Bangladesh,414.91
United Arab Emirates,405.47
Denmark,398.3
Singapore,396.99
Philippines,394.09
Malaysia,372.7
Hong Kong,369.17
Vietnam,366.14
Pakistan,342.5
Chile,317.06
Colombia,314.46
Finland,297.3
Romania,284.09
Czech Republic,281.78
Portugal,253.66
New Zealand,250.45
Peru,223.25
Greece,214.87
Iraq,204.0
Ukraine,200.09
Kazakhstan,193.02
Hungary,181.85
Qatar,179.57
Algeria,163.47
Morocco,142.87
Kuwait,136.64
Cuba,126.69
Slovakia,116.53
Venezuela,111.81
Kenya,110.35
Puerto Rico,106.53
Ecuador,106.17
Ethiopia,99.27
Dominican Republic,94.24
Oman,88.19
Guatemala,85.99
Luxembourg,85.51
Sri Lanka,85.31
Bulgaria,84.06
Ghana,79.08
Angola,70.53
Tanzania,70.3
Ivory Coast,69.77
Uzbekistan,69.24
Croatia,68.95
Belarus,68.21
Lithuania,66.44
Costa Rica,64.28
Panama,63.6
Serbia,63.07
Slovenia,61.75
Uruguay,59.32
Myanmar,58.58
Azerbaijan,54.62
Turkmenistan,53.95
DR Congo,52.85
Tunisia,46.69
Cameroon,45.37
Jordan,45.24
Uganda,42.66
Paraguay,40.46
Bolivia,40.41
Latvia,39.85
Libya,39.01
Bahrain,38.87
Lebanon,37.95
Estonia,37.19
Nepal,36.21
Sudan,35.87
Macau,29.91
El Salvador,28.74
Honduras,28.49
Cyprus,28.41
Senegal,27.62
Cambodia,26.67
Papua New Guinea,26.59
Iceland,25.6
Trinidad and Tobago,24.46
Zimbabwe,24.12
Bosnia and Herzegovina,23.36
Zambia,21.31
Burkina Faso,19.74
Syria,19.72
Mali,19.16
Laos,19.07
Haiti,19.04
Georgia,18.7
Gabon,18.52
Albania,18.26
Palestine,18.04
Malta,17.72
Benin,17.69
Botswana,17.61
North Korea,16.75
Chad,16.41
Guinea,16.04
Mozambique,15.78
Mongolia,15.1
Afghanistan,14.94
Niger,14.91
Jamaica,14.66
Madagascar,14.45
Nicaragua,14.01
Brunei,14.01
North Macedonia,13.88
Armenia,13.86
Moldova,13.68
Congo,12.84
Equatorial Guinea,12.43
Namibia,12.24
Malawi,12.2
Mauritius,11.53
Bahamas,11.21
Rwanda,11.07
New Caledonia,10.07
Mauritania,10.0
Yemen,9.95
Kosovo,9.41
Tajikistan,8.75
Kyrgyzstan,8.74
Monaco,8.6
Togo,8.16
Guyana,8.04
Somalia,7.63
Bermuda,7.23
Liechtenstein,6.61
French Polynesia,6.05
Montenegro,5.81
Cayman Islands,5.81
Maldives,5.41
Barbados,4.84
Eswatini,4.73
South Sudan,4.3
Fiji,4.3
Sierra Leone,4.25
Burundi,3.9
Djibouti,3.7
Andorra,3.33
Greenland,3.27
Suriname,3.22
Aruba,3.13
Curaçao,2.7
Central African Republic,2.52
Belize,2.49
Liberia,2.44
Bhutan,2.38
Lesotho,2.37
Eritrea,2.25
Zanzibar,2.08
Gambia,2.04
East Timor,2.0
Cape Verde,1.94
Saint Lucia,1.76
San Marino,1.7
Solomon Islands,1.63
Guinea-Bissau,1.56
British Virgin Islands,1.54
Antigua and Barbuda,1.42
Comoros,1.34
Seychelles,1.29
Sint Maarten,1.15
Grenada,1.11
Vanuatu,0.98
Turks and Caicos Islands,0.94
Saint Vincent and the Grenadines,0.88
Saint Kitts and Nevis,0.86
Samoa,0.86
São Tomé and Príncipe,0.56
Dominica,0.55
Tonga,0.47
Micronesia,0.4
Cook Islands,0.33
Anguilla,0.3
Marshall Islands,0.26
Kiribati,0.23
Palau,0.22
Nauru,0.15
Montserrat,0.07
Tuvalu,0.06
